Year,Team,Real Win Total,Real Loss Total,Pythag
2011,Texas Rio Grande Vaqueros,6,25,0.246887975
2011,Texas Southern Tigers,19,13,0.455636585
2011,Texas State Bobcats,16,16,0.495913168
2011,Texas Tech Red Raiders,13,19,0.426138804
2011,Texas-Arlington Mavericks,13,16,0.577862965
2011,Texas-El Paso Miners,25,10,0.744735272
2011,Texas-San Antonio Roadrunners,20,14,0.522656835
2011,Toledo Rockets,4,28,0.121735412
2011,Towson Tigers,4,26,0.255316608
2011,Troy Trojans,8,21,0.311512923
2011,Tulane Green Wave,13,17,0.602758492
2011,Tulsa Golden Hurricane,19,13,0.602879724
2011,UCLA Bruins,23,11,0.637874118
2011,UNLV Rebels,24,9,0.789568498
2011,Utah State Aggies,30,4,0.891060166
2011,Utah Utes,13,18,0.382947934
2011,Utah Valley Wolverines,19,11,0.741151412
2011,Valparaiso Crusaders,23,12,0.683002613
2011,Vanderbilt Commodores,23,11,0.764415058
2011,Vermont Catamounts,23,9,0.705055318
2011,Villanova Wildcats,21,12,0.734218012
2011,Virginia Cavaliers,16,15,0.477403007
2011,Virginia Commonwealth Rams,28,12,0.669833604
2011,Virginia Military Keydets,18,13,0.6691234
2011,Virginia Tech Hokies,22,12,0.762435771
2011,Wagner Seahawks,13,17,0.395202487
2011,Wake Forest Demon Deacons,8,24,0.195718223
2011,Washington Huskies,24,11,0.839319674
2011,Washington State Cougars,22,13,0.689550669
2011,Weber State Wildcats,18,14,0.613653399
2011,West Virginia Mountaineers,21,12,0.685938317
2011,Western Carolina Catamounts,18,15,0.531304955
2011,Western Illinois Leathernecks,7,23,0.219930348
2011,Western Kentucky Hilltoppers,16,16,0.476127869
2011,Western Michigan Broncos,21,13,0.625392138
2011,Wichita State Shockers,29,8,0.844290471
2011,William & Mary Tribe,10,22,0.355036432
2011,Winthrop Eagles,13,17,0.457596725
2011,Wisconsin Badgers,25,9,0.82026011
2011,Wisconsin-Green Bay Phoenix,14,18,0.458790702
2011,Wisconsin-Milwaukee Panthers,19,14,0.461910726
2011,Wofford Terriers,21,13,0.69106149
2011,Wright State Raiders,19,14,0.606811064
2011,Wyoming Cowboys,10,21,0.361112312
2011,Xavier Musketeers,24,8,0.754269708
2011,Yale Bulldogs,15,13,0.531037407
2011,Youngstown State Penguins,9,21,0.324133026
2012,Abilene Christian Wildcats,0,0,0
2012,Air Force Falcons,13,16,0.482847071
2012,Akron Zips,22,12,0.718901883
2012,Alabama A&M Bulldogs,7,21,0.249582099
2012,Alabama Crimson Tide,21,12,0.750003812
2012,Alabama State Hornets,12,19,0.303855624
2012,Alabama-Birmingham Blazers,15,16,0.456744066
2012,Albany Great Danes,19,15,0.607145155
2012,Alcorn State Braves,10,22,0.287832049
2012,American Eagles,20,12,0.585217644
2012,Appalachian State Mountaineers,13,18,0.435930379
2012,Arizona State Sun Devils,10,21,0.297866173
2012,Arizona Wildcats,23,12,0.7268356
2012,Arkansas Razorbacks,18,14,0.576335817
2012,Arkansas State Red Wolves,14,20,0.452782322
2012,Arkansas-Little Rock Trojans,15,16,0.479325507
2012,Arkansas-Pine Bluff Golden Lions,11,22,0.209827894
2012,Army Black Knights,12,18,0.421010415
2012,Auburn Tigers,15,16,0.446666684
2012,Austin Peay State Governors,12,20,0.380422052
2012,Ball State Cardinals,15,15,0.607082245
2012,Baylor Bears,30,8,0.797919213
2012,Belmont Bruins,27,8,0.864379877
2012,Bethune Cookman Wildcats,18,17,0.45218542
2012,Binghamton Bearcats,2,29,0.095962387
2012,Boise State Broncos,13,17,0.578052677
2012,Boston College Eagles,9,22,0.180179359
2012,Boston University Terriers,16,16,0.513817304
2012,Bowling Green State Falcons,16,16,0.595878842
2012,Bradley Braves,7,25,0.187272334
2012,Brigham Young Cougars,26,9,0.816112806
2012,Brown Bears,8,23,0.222976998
2012,Bryant University Bulldogs,2,28,0.114528575
2012,Bucknell Bison,25,10,0.765745384
2012,Buffalo Bulls,20,11,0.692242554
2012,Butler Bulldogs,22,15,0.617097162
2012,Cal Poly-Slo Mustangs,18,15,0.66476002
2012,California Baptist Lancers,0,0,0
2012,California Golden Bears,24,10,0.806904097
2012,California State-Bakersfield Roadrunners,16,15,0.460520166
2012,California State-Fullerton Titans,21,10,0.71929067
2012,California State-Long Beach 49ers,25,9,0.812807135
2012,California State-Northridge Matadors,7,21,0.271372947
2012,California State-Sacramento Hornets,10,18,0.41868909
2012,California-Davis Aggies,5,26,0.134609637
2012,California-Irvine Anteaters,12,20,0.355724044
2012,California-Riverside Highlanders,14,17,0.351924868
2012,California-Santa Barbara Gauchos,20,11,0.72388133
2012,Campbell Fighting Camels,17,15,0.509748301
2012,Canisius Golden Griffins,5,25,0.184905047
2012,Central Arkansas Bears,8,21,0.189822184
2012,Central Connecticut State Blue Devils,13,16,0.488660643
2012,Central Florida Knights,22,11,0.583395173
2012,Central Michigan Chippewas,11,21,0.316968537
2012,Charleston Southern Buccaneers,19,12,0.651392721
2012,Chicago State Cougars,4,26,0.108827968
2012,Cincinnati Bearcats,26,11,0.741155967
2012,Citadel Bulldogs,6,24,0.236652063
2012,Clemson Tigers,16,15,0.654605745
2012,Cleveland State Vikings,22,11,0.722461318
2012,Coastal Carolina Chanticleers,19,12,0.728126899
2012,Colgate Red Raiders,8,22,0.170460831
2012,College of Charleston Cougars,19,12,0.587143748
2012,Colorado Buffaloes,24,12,0.66784171
2012,Colorado State Rams,20,12,0.575940688
2012,Columbia Lions,15,15,0.621065114
2012,Connecticut Huskies,20,14,0.656444246
2012,Coppin State Eagles,14,16,0.449721447
2012,Cornell Big Red,12,16,0.411642623
2012,Creighton Blue Jays,29,6,0.787815018
2012,Dartmouth College Big Green,5,25,0.268920943
2012,Davidson College Wildcats,25,8,0.805620642
2012,Dayton Flyers,20,13,0.64912257
2012,Delaware Blue Hens,18,14,0.520982326
2012,Delaware State Hornets,15,14,0.565964376
2012,Denver Pioneers,22,9,0.771104535
2012,DePaul Blue Demons,12,19,0.41319781
2012,Detroit-Mercy Titans,22,14,0.662138886
2012,Drake Bulldogs,18,16,0.509010023
2012,Drexel Dragons,29,7,0.825059216
2012,Duke Blue Devils,27,7,0.771368656
2012,Duquesne Dukes,16,15,0.522843293
2012,East Carolina Pirates,15,16,0.640470991
2012,East Tennessee State Buccaneers,17,14,0.599546486
2012,Eastern Illinois Panthers,12,17,0.385793675
2012,Eastern Kentucky Colonels,16,16,0.507251855
2012,Eastern Michigan Eagles,14,18,0.269611065
2012,Eastern Washington Eagles,15,17,0.546558
2012,Elon Phoenix,15,16,0.440885204
2012,Evansville Aces,16,16,0.526269308
2012,Fairfield Stags,22,15,0.666622816
2012,Fairleigh Dickinson-Metropolitan Knights,3,26,0.137320746
2012,Florida A&M Rattlers,10,23,0.254051927
2012,Florida Atlantic Owls,11,19,0.412985324
2012,Florida Gators,26,11,0.830928116
2012,Florida Gulf Coast Eagles,15,17,0.5
2012,Florida International Panthers,8,21,0.349164018
2012,Florida State Seminoles,25,10,0.744450198
2012,Fordham Rams,10,19,0.187026964
2012,Fresno State Bulldogs,13,20,0.48704608
2012,Furman  Paladins,15,16,0.479653637
2012,Gardner Webb Runnin Bulldogs,12,20,0.457804193
2012,George Mason Patriots,24,9,0.696666655
2012,George Washington Colonials,10,21,0.318483449
2012,Georgetown Hoyas,24,9,0.824386395
2012,Georgia Bulldogs,15,17,0.416758193
2012,Georgia Southern Eagles,15,15,0.460706194
2012,Georgia State Panthers,22,12,0.803494435
2012,Georgia Tech Yellow Jackets,11,20,0.401641199
2012,Gonzaga Bulldogs,26,7,0.830597416
2012,Grambling State Tigers,4,24,0.053889977
2012,Grand Canyon Antelope,0,1,0.087132951
2012,Hampton University Pirates,12,21,0.416908852
2012,Hartford Hawks,9,22,0.237659465
2012,Harvard Crimson,26,5,0.844207058
2012,Hawaii Rainbow Warriors,16,16,0.466552816
2012,High Point Panthers,13,18,0.531558075
2012,Hofstra Pride,10,22,0.428009521
2012,Holy Cross Crusaders,15,14,0.430752196
2012,Houston Baptist Huskies,10,20,0.351452571
2012,Houston Cougars,15,15,0.505960409
2012,Howard Bison,10,21,0.184847554
2012,Idaho State Bengals,9,21,0.25965111
2012,Idaho Vandals,19,14,0.565133762
2012,Illinois Fighting Illini,17,15,0.552867596
2012,Illinois State Redbirds,21,14,0.635756052
2012,Illinois-Chicago Flames,8,22,0.249609936
2012,Incarnate Word Cardinals,0,0,0
2012,Indiana Hoosiers,27,9,0.824648201
2012,Indiana State Sycamores,18,15,0.474763104
2012,Indiana-Purdue Jaguars,14,18,0.488975522
2012,Iona Gaels,25,8,0.792989373
2012,Iowa Hawkeyes,18,17,0.518108805
2012,Iowa State Cyclones,23,11,0.706026104
2012,IUPU-Fort Wayne Mastadons,11,18,0.337786851
2012,Jackson State Tigers,7,24,0.160011182
2012,Jacksonville Dolphins,8,22,0.24887748
2012,Jacksonville State Gamecocks,15,18,0.544511131
2012,James Madison Dukes,12,20,0.362238684
2012,Kansas Jayhawks,32,7,0.857242265
2012,Kansas State Wildcats,22,11,0.741583528
2012,Kennesaw State Owls,3,28,0.120912575
2012,Kent State Golden Flashes,21,12,0.658411665
2012,Kentucky Wildcats,38,2,0.924771046
2012,La Salle Explorers,21,13,0.729858075
2012,Lafayette College Leopards,13,18,0.387190858
2012,Lamar Cardinals,23,12,0.762695829
